price,datetime
1823.44937973,2021-03-17 23:59:59.999
1782.85512445,2021-03-18 23:59:59.999
1817.62409241,2021-03-19 23:59:59.999
1812.63460132,2021-03-20 23:59:59.999
1788.21700883,2021-03-21 23:59:59.999
1691.33401831,2021-03-22 23:59:59.999
1678.65013849,2021-03-23 23:59:59.999
1593.4134567,2021-03-24 23:59:59.999
1595.359192,2021-03-25 23:59:59.999
1702.84201957,2021-03-26 23:59:59.999
1716.49461243,2021-03-27 23:59:59.999
1691.35596451,2021-03-28 23:59:59.999
1819.68496282,2021-03-29 23:59:59.999
1846.03369779,2021-03-30 23:59:59.999
1918.36206064,2021-03-31 23:59:59.999
1977.27688844,2021-04-01 23:59:59.999
2143.22563228,2021-04-02 23:59:59.999
2028.4224386,2021-04-03 23:59:59.999
2093.12285275,2021-04-04 23:59:59.999
2107.88709669,2021-04-05 23:59:59.999
2118.37895913,2021-04-06 23:59:59.999
1971.07725542,2021-04-07 23:59:59.999
2088.57365088,2021-04-08 23:59:59.999
2072.10887563,2021-04-09 23:59:59.999
2135.9422007,2021-04-10 23:59:59.999
2157.65703708,2021-04-11 23:59:59.999
2139.35319598,2021-04-12 23:59:59.999
2299.18778599,2021-04-13 23:59:59.999
2435.10501889,2021-04-14 23:59:59.999
2519.11610012,2021-04-15 23:59:59.999
2431.94650379,2021-04-16 23:59:59.999
2344.89498097,2021-04-17 23:59:59.999
2237.13702776,2021-04-18 23:59:59.999
2166.1887655,2021-04-19 23:59:59.999
2330.21093719,2021-04-20 23:59:59.999
2364.75182249,2021-04-21 23:59:59.999
2403.53524134,2021-04-22 23:59:59.999
2363.58620073,2021-04-23 23:59:59.999
2211.62580802,2021-04-24 23:59:59.999
2316.05965928,2021-04-25 23:59:59.999
2534.4817987,2021-04-26 23:59:59.999
2662.86524559,2021-04-27 23:59:59.999
2746.38005291,2021-04-28 23:59:59.999
2756.87699416,2021-04-29 23:59:59.999
2773.20713193,2021-04-30 23:59:59.999
2945.89270802,2021-05-01 23:59:59.999
2952.05605494,2021-05-02 23:59:59.999
3431.08613981,2021-05-03 23:59:59.999
3253.62947001,2021-05-04 23:59:59.999
3522.78318978,2021-05-05 23:59:59.999
3490.88045894,2021-05-06 23:59:59.999
3484.72889546,2021-05-07 23:59:59.999
3902.64773368,2021-05-08 23:59:59.999
3928.84470583,2021-05-09 23:59:59.999
3952.29387234,2021-05-10 23:59:59.999
4168.70104865,2021-05-11 23:59:59.999
3785.84860304,2021-05-12 23:59:59.999
3715.14846639,2021-05-13 23:59:59.999
4079.05745857,2021-05-14 23:59:59.999
3638.12204192,2021-05-15 23:59:59.999
3587.50620646,2021-05-16 23:59:59.999
3282.39779583,2021-05-17 23:59:59.999
3380.0700925,2021-05-18 23:59:59.999
2460.67920048,2021-05-19 23:59:59.999
2784.29415835,2021-05-20 23:59:59.999
2430.62138539,2021-05-21 23:59:59.999
2295.70565666,2021-05-22 23:59:59.999
2109.57985208,2021-05-23 23:59:59.999
2643.5909947,2021-05-24 23:59:59.999
2706.62898111,2021-05-25 23:59:59.999
2888.69868104,2021-05-26 23:59:59.999
2736.48858585,2021-05-27 23:59:59.999
2419.90629016,2021-05-28 23:59:59.999
2279.51417661,2021-05-29 23:59:59.999
2390.305302,2021-05-30 23:59:59.999
2714.94534372,2021-05-31 23:59:59.999
2633.51841662,2021-06-01 23:59:59.999
2706.12497095,2021-06-02 23:59:59.999
2855.12653096,2021-06-03 23:59:59.999
2688.19499931,2021-06-04 23:59:59.999
2630.57680077,2021-06-05 23:59:59.999
2715.09266119,2021-06-06 23:59:59.999
2590.26330395,2021-06-07 23:59:59.999
2517.43862412,2021-06-08 23:59:59.999
2608.26698585,2021-06-09 23:59:59.999
2471.51867508,2021-06-10 23:59:59.999
2353.76868661,2021-06-11 23:59:59.999
2372.48445358,2021-06-12 23:59:59.999
2508.39163246,2021-06-13 23:59:59.999
2537.8911584,2021-06-14 23:59:59.999
2610.93672749,2021-06-15 23:59:59.999
2367.6634963,2021-06-16 23:59:59.999
2372.00202359,2021-06-17 23:59:59.999
2231.73314201,2021-06-18 23:59:59.999
2178.49913873,2021-06-19 23:59:59.999
2246.36453295,2021-06-20 23:59:59.999
